,Name,L/R,RElo,LElo,Elo
147,Aaron Judge,R,1721,1563,1731
222,Freddie Freeman,L,1665,1548,1677
104,Yordan Alvarez,L,1624,1582,1657
107,Mike Trout,R,1619,1574,1655
46,Paul Goldschmidt,R,1616,1619,1653
101,Jose Altuve,R,1591,1584,1647
249,Julio Rodriguez,R,1617,1536,1641
106,Shohei Ohtani,L,1618,1549,1637
121,Manny Machado,R,1629,1541,1632
221,Mookie Betts,R,1585,1568,1628
289,Nathaniel Lowe,L,1580,1572,1627
24,Jose Ramirez,S,1627,1522,1622
181,Kyle Schwarber,L,1622,1507,1615
68,Juan Soto,L,1634,1508,1614
66,Pete Alonso,R,1598,1538,1613
140,Rafael Devers,L,1617,1511,1610
404,Taylor Ward,R,1606,1515,1608
77,Jeff McNeil,L,1589,1528,1608
48,Nolan Arenado,R,1604,1530,1606
87,Austin Riley,R,1571,1574,1604
264,Joc Pederson,L,1593,1513,1601
182,J.T. Realmuto,R,1578,1531,1601
279,Brandon Nimmo,L,1576,1540,1597
204,Yandy Diaz,R,1566,1546,1595
245,Carlos Correa,R,1549,1555,1595
161,Jose Abreu,R,1571,1531,1591
183,Bryce Harper,L,1580,1524,1591
43,Bryan Reynolds,S,1576,1525,1591
37,Andres Gimenez,L,1559,1543,1589
517,Michael Harris II,L,1598,1501,1589
286,Marcus Semien,R,1559,1542,1587
294,George Springer,R,1575,1522,1587
511,Matt Carpenter,L,1558,1536,1586
295,Bo Bichette,R,1570,1525,1585
503,Adley Rutschman,S,1604,1487,1585
141,Xander Bogaerts,R,1541,1565,1585
243,Eugenio Suarez,R,1558,1542,1585
223,Trea Turner,R,1561,1549,1583
335,William Contreras,R,1539,1560,1583
257,Luis Arraez,L,1578,1508,1583
103,Alex Bregman,R,1581,1505,1581
65,Francisco Lindor,S,1570,1534,1581
126,Christian Walker,R,1575,1528,1579
244,Byron Buxton,R,1549,1544,1579
224,Justin Turner,R,1564,1513,1578
86,Matt Olson,L,1579,1518,1577
49,Albert Pujols,R,1527,1571,1577
109,Kyle Tucker,L,1566,1527,1575
